Airport,Latitude,Longitude
ALC,38.282169,-0.558156
ALD,-11.7,-69.35
ALE,30.38,-103.7
ALF,69.976111,23.371667
ALG,36.691014,3.215408
ALH,-34.95,117.8
ALI,27.740889,-98.026944
ALJ,-28.575001,16.533333
ALK,7.967,39.12
ALL,44.050608,8.127428
ALM,32.839944,-105.990583
ALN,38.890292,-90.046044
ALO,42.557081,-92.400345
ALP,36.180675,37.224358
ALQ,-29.8,-55.73
ALR,-45.211666,169.373333
ALS,37.43,-105.9
ALT,-1.933,-54.73
ALU,11.88,50.67
ALV,40.98,0.45
ALW,46.094778,-118.289
ALX,32.93,-85.95
ALY,31.183903,29.948889
ALZ,56.88,-154.2
AMA,35.219369,-101.705931
AMB,-13.188431,48.987978
AMC,11.03,20.28
AMD,23.077242,72.63465
AME,-15.65,37.68
AMF,-4.167,141.7
AMG,-4.6,143.5
AMH,6.039389,37.590453
AMI,-8.567,116.1
AMJ,-16.18,-40.68
AMK,37.15,-107.8
AML,8.3,-82.87
AMM,31.722556,35.993214
AMN,43.38,-84.65
AMO,14.12,15.32
AMP,-24.7,44.73
AMQ,-3.710264,128.089136
AMR,7.083,171.7
AMS,52.308613,4.763889
AMT,-26.2,131.1
AMU,-3.517,141.3
AMV,69.77,61.55
AMW,42,-93.62
AMX,-21.73,135.2
AMY,-17.68,45.67
AMZ,-37.029722,174.973333
ANA,33.85,-118
ANB,33.588167,-85.858111
ANC,61.174361,-149.996361
AND,34.494583,-82.709389
ANE,47.47,-0.55
ANF,-23.444478,-70.4451
ANG,45.729247,0.221456
ANH,-8.983,160.5
ANI,61.58,-159.5
ANJ,-2.85,13.83
ANK,39.949831,32.688622
ANL,-11.5,16.75
ANM,-14.999411,50.320233
ANN,55.042436,-131.572233
ANO,-16.17,39.93
ANP,38.98,-76.5
ANQ,41.63,-85
ANR,51.189444,4.460278
ANS,-13.706408,-73.350378
ANT,47.15,10.28
ANU,17.136749,-61.792667
ANV,62.65,-160.2
ANW,42.58,-99.98
ANX,69.2925,16.144167
ANY,37.15,-98.03
ANZ,-25.08,132.2
AOA,-9.033,146.8
AOB,-4.917,144.7
AOC,50.981817,12.506361
AOD,11.47,19.28
AOE,39.8,30.53
AOG,41.17,123
AOH,40.72,-84.1
AOI,43.616342,13.362319
AOJ,40.734722,140.690833
AOK,35.421408,27.146008
AOL,-29.689425,-57.152078
AON,-6.25,146
AOO,40.296372,-78.320022
AOR,6.189667,100.398183
AOS,57.47,-153.8
AOT,45.74,7.363
AOU,14.8,106.8
APA,39.57,-104.8
APB,-14.72,-68.5
APC,38.45,-122.2
APE,-15.35,-75.17
APF,26.15,-81.77
APG,39.466219,-76.168808
APH,38.05,-77.35
API,4.076069,-73.562731
APK,-15.08,-145.3
APL,-15.105611,39.2818
APN,45.078068,-83.560287
APO,7.033,-77.2
APP,-8.983,148.1
APQ,-9.75,-36.65
APR,-4.3,142.4
APS,-16.229153,-48.964267
APT,35.07,-85.63
APU,-23.55,-51.48
APV,34.52,-117.2
APW,-13.829969,-172.008336
APX,-23.38,-51.95
APY,-9.1,-45.97
APZ,-38.9755,-70.113581
AQA,-21.812,-48.133028
AQB,15.01,-91.15
AQG,30.52,117
AQI,28.335192,46.125069
AQJ,29.611619,35.018067
AQM,-9.933,-63.07
AQP,-16.341072,-71.583083
AQS,-16.75,179.4
AQY,60.97,-149.1
ARA,30,-91.82
ARB,-28.741039,32.092111
ARC,68.12,-145.6
ARD,-8.25,124.8
ARE,18.45,-66.67
ARF,0.5333,-70.13
ARG,36.12,-90.92
ARH,64.600281,40.716667
ARI,-18.348531,-70.338742
ARJ,-2.933,140.8
ARK,-3.367794,36.633333
ARL,11.58,1.25
ARM,-30.528056,151.617222
ARN,59.651944,17.918611
ARO,8.867,-76.43
ARP,-9.9,149.5
ARQ,7.033,-71.43
ARR,-45.17,-71
ARS,-15.92,-52.25
ART,43.991922,-76.021739
ARU,-21.141342,-50.424722
ARV,45.92,-89.73
ARW,46.17655,21.262022
ARX,40.18,-74.12
ARY,-37.309444,142.988611
ARZ,-7.233,12.9
ASA,13.071783,42.645006
ASB,-29.689333,17.939611
ASC,-15.72,-63.07
ASD,24.698283,-77.795611
ASE,39.22,-106.9
ASF,46.283333,48.006278
ASG,-43.9,171.8
ASH,42.78,-71.52
ASI,-7.933,-14.42
ASJ,28.430633,129.712542
ASK,6.903167,-5.365581
ASL,32.55,-94.38
ASM,15.291853,38.910667
ASN,33.43,-86.1
ASO,10.01855,34.586253
ASP,-23.806667,133.902222
ASQ,39.5,-117.1
ASR,38.770386,35.495428
AST,46.17,-123.9
ASU,-25.23985,-57.519133
ASV,-2.633,37.25
ASW,23.964356,32.819975
ASX,46.55,-90.92
ASY,46.03,-99.37
ASZ,-5.867,150.4
ATA,-9.347444,-77.598392
ATB,17.7,33.98
ATC,24.629417,-75.673775
ATD,-8.867,161
ATE,34.23,-95.62
ATF,-1.212067,-78.574636
ATG,33.9,72.25
ATH,37.936358,23.944467
ATI,-30.42,-56.52
ATJ,-19.08,47.07
ATK,70.47,-157.3
ATL,33.636719,-84.428067
ATM,-3.253906,-52.253978
ATN,-3.667,152.5
ATO,39.33,-82.1
ATP,-3.133,142.4
ATQ,31.709594,74.797264
ATR,20.506828,-13.043194
ATS,32.85,-104.5
ATT,61,-162.8
ATU,52.83,173.2
ATV,13.23,18.32
ATW,44.27,-88.52
ATX,51.88,68.4
ATY,44.913981,-97.154719
ATZ,27.05,31.02
AUA,12.501389,-70.015221
AUB,-20.45,-54.62
AUC,7.068881,-70.736925
AUD,-18.67,139.9
AUE,28.97,33.18
AUF,47.850193,3.497111
AUG,44.32,-69.8
AUH,24.432972,54.651138
AUI,-1.45,143.1
AUJ,-4.25,142.9
AUK,62.68,-164.6
AUL,8.133,171.2
AUM,43.67,-92.93
AUN,38.9,-121.1
AUO,32.62,-85.43
AUP,-9.917,149.3
AUQ,-9.8,-139
AUR,44.891388,2.421944
AUS,30.194528,-97.669889
AUT,-8,125.7
AUU,-13.353889,141.720833
AUV,-5.717,148.4
AUW,44.93,-89.63
AUX,-7.2,-48.2
AUY,-20.33,169.7
AUZ,41.77,-88.32
AVA,40.05,116.6
AVB,46.031889,12.596472
AVF,46.42,6.5
AVG,-15.75,129.9
AVI,22.027053,-78.789617
AVK,46.25,102.8
AVL,35.436194,-82.541806
AVN,43.9073,4.901831
AVO,27.6,-81.52
AVP,41.338478,-75.723403
AVU,-9.85,160.4
AVV,-38.039444,144.469444
AVW,32.4,-111.2
AVX,33.33,-118.4
AWA,6.967,38.4
AWB,-4.117,144.9
AWD,-19.28,169.6
AWE,-0.75,9.45
AWH,8.267,44.18
AWK,19.282067,166.636444
AWM,35.13,-90.18
AWN,-26.48,139.3
AWP,-20.33,137.3
AWR,-4.117,144.9
AWZ,31.337431,48.76195
AXA,18.204834,-63.055084
AXB,44.25,-75.9
AXC,-23.08,145.3
AXD,40.855869,25.956264
AXE,-26.88,-52.38
AXG,43.07,-94.23
AXK,14.551322,46.826183
AXL,-19.12,136.8
AXM,4.452775,-75.766447
AXN,45.866297,-95.394669
AXP,22.441828,-73.970858
AXR,-15.248289,-146.616708
AXS,34.7,-99.33
AXT,39.615556,140.218611
AXU,14.14675,38.772833
AXV,40.57,-84.18
AXX,36.42,-105.3
AYA,8.3,-75.15
AYC,8.6,-73.62
AYD,-19.3,136
AYE,33.98,-118.5
AYG,2.667,-75.52
AYH,52.37,-0.2667
AYI,-0.3833,-72.27
AYK,50.32,66.97
AYL,-18.02,135.6
AYN,36.1,114.4
AYO,-27.37065,-56.853944
AYP,-13.154819,-74.204417
AYQ,-25.186111,130.975556
AYR,-19.584444,147.329167
AYS,31.25,-82.4
AYT,36.898731,30.800461
AYU,-6.333,145.9
AYW,-1.2,132.5
AYZ,40.67,-73.42
AZA,33.32,-111.9
AZB,-10.3,149.3
AZD,31.904908,54.276503
AZG,19.08,-102.4
AZI,24.428333,54.458084
AZL,-13.47,-58.85
AZN,40.73,72.3
AZO,42.234875,-85.552058
AZP,19.43,-99.08
AZR,27.837589,-0.186414
AZS,19.27,-69.74
AZT,6.817,-73.28
AZZ,-7.883,13.15
BAA,-5.317,151
BAB,39.136089,-121.436567
BAC,4.583,-72.97
BAD,32.50182,-93.662674
BAE,44.38,6.633
BAF,42.157776,-72.715553
BAG,16.375103,120.619636
BAH,26.270834,50.63361
BAI,9.167,-83.33
BAJ,-4.883,149.1
BAK,40.4675,50.046667
BAL,37.928969,41.116583
BAM,40.63,-116.9
BAN,-4.167,20.33
BAO,17.38,102.8
BAP,-10.33,149.6
BAQ,10.889589,-74.780819
BAR,57.17,-170.2
BAS,-7.983,155.9
BAT,-20.584547,-48.594086
BAU,-22.345042,-49.0538
BAV,40.67,110
BAW,-0.6667,9.45
BAX,53.363775,83.538533
BAY,47.658389,23.470022
BAZ,-0.9667,-62.93
BBA,-45.916058,-71.689475
BBB,45.32,-95.6
BBC,28.98,-95.97
BBD,31.13,-99.33
BBE,-27.42,117.7
BBF,42.5,-71.18
BBG,3.083,172.8
BBH,54.33754,12.699705
BBI,20.244364,85.817781
BBJ,51.193531,14.519747
BBK,-17.832875,25.1624
BBL,36.65,52.67
BBM,13.095564,103.224408
BBN,3.683,115.5
BBO,10.389167,44.941106
BBP,50.68,-1.083
BBQ,17.6,-61.78
BBR,16.17,-61.75
BBS,51.323889,-0.8475
BBT,4.221583,15.786369
BBU,44.503194,26.102111
BBV,4.667,-6.95
BBW,41.4,-99.63
BBX,40.15,-75.27
BBY,5.85,20.63
BBZ,-13.53,23.12
BCA,20.365317,-74.506206
BCB,37.23,-80.42
BCC,57.62,-155.9
BCD,10.642511,122.929617
BCE,37.7,-112.2
BCF,6.5,18.28
BCG,7.7,-59.17
BCH,-8.485547,126.399389
BCI,-23.565278,145.306667
BCJ,37.97,-105.8
BCK,-17.4,144.2
BCL,10.78,-83.58
BCM,46.521946,26.910278
BCN,41.297078,2.078464
BCO,5.783,36.55
BCP,-5.85,146.5
BCQ,27.68,14.22
BCR,-8.633,-67.42
BCS,29.87,-90.02
BCT,26.37,-80.12
BCU,10.32,9.833
BCV,61.416489,-149.50735
BCW,-11.35,40.35
BCX,53.93,58.33
BCY,6.217,36.67
BCZ,-13.78,137.8
BDA,32.364042,-64.678703
BDB,-24.903889,152.318611
BDC,-5.467,-45.27
BDD,-10.12,142.1
BDE,48.728444,-94.612222
BDF,41.18,-89.65
BDG,37.58,-109.5
BDH,26.532,54.824847
BDI,-3.717,55.22
BDJ,-3.283,114.7
BDK,8.033,-2.8
BDL,41.938889,-72.683222
BDM,40.317972,27.977694
BDN,24.841519,68.838408
BDO,-6.9,107.6
BDP,26.57,88.08
BDQ,22.336164,73.226289
BDR,41.163472,-73.126167
BDS,40.657633,17.947033
BDT,4.253206,20.975283
BDU,69.055758,18.540356
BDV,-7.083,29.73
BDW,-17.3,127.5
BDX,45.45,-105.4
BDY,43.12,-124.4
BDZ,-6.333,147
BEA,-8.65,146.5
BEB,57.481111,-7.362778
BEC,37.69,-97.21
BED,42.469953,-71.289031
BEE,-12.98,141.6
BEF,11.990961,-83.774086
BEG,44.818444,20.309139
BEH,42.13,-86.43
BEI,9.383,34.53
BEJ,2.167,117.7
BEK,26.22,81.23
BEL,-1.37925,-48.476292
BEM,5.267,17.65
BEN,32.096786,20.269472
BEO,-33.03,151.7
BEP,15.162783,76.882775
BEQ,52.342611,0.772939
BER,52.516,13.3769
BES,48.447911,-4.418539
BET,60.779778,-161.838
BEU,-24.346111,139.460278
BEV,31.287003,34.722953
BEW,-19.796419,34.907556
BEX,51.616389,-1.095833
BEY,33.820931,35.488389
BEZ,-1.333,176
BFA,-20.23,-58.17
BFB,58.18,-152.1
BFC,-15.9,145.3
BFD,41.803067,-78.640122
BFE,52.03,8.533
BFF,41.874028,-103.595639
BFG,37.55,-110.7
BFH,-25.405078,-49.232036
BFI,47.53,-122.301947
BFJ,-17.57,177.7
BFK,39.77,-104.9
BFL,35.433598,-119.05677
BFM,30.626783,-88.068092
BFN,-29.092722,26.302444
BFO,-21.008083,31.57855
BFP,40.77,-80.4
BFQ,9.083,-79.43
BFR,38.85,-86.48
BFS,54.6575,-6.215833
BFT,32.42,-80.63
BFU,32.95,117.3
BFV,15.229539,103.253231
BFW,35.17,-0.5894
BFX,5.536919,10.354583
BGA,7.1265,-73.184778
BGB,-0.1,11.93
BGC,41.8578,-6.707125
BGD,35.65,-101.4
BGE,30.9,-84.6
BGF,4.398475,18.518786
BGG,6.65,-4.2
BGH,16.63,-14.2
BGI,13.074603,-59.492456
BGJ,64.47,-21.98
BGK,16.52,-88.42
BGL,28.22,83.67
BGM,42.208689,-75.979839
BGN,51.2,6.133
BGO,60.293386,5.218142
BGP,-2.167,10.22
BGQ,61.53,-149.8
BGR,44.807444,-68.828139
BGS,32.3,-101.4
BGT,34.57,-113.2
BGU,4.783,22.8
BGV,-29.17,-51.52
BGW,33.28,44.5
BGX,-31.390528,-54.112244
BGY,45.673889,9.704166
BGZ,41.58,-8.45
BHA,-0.5833,-80.4
BHB,44.45,-68.37
BHC,33.92,73.43
BHD,54.618056,-5.8725
BHE,-41.518333,173.870278
BHF,6.55,-77.33
BHG,15.83,-84.83
BHH,19.98435,42.620881
BHI,-32.001389,141.471667
BHJ,23.287828,69.670147
BHK,39.775,64.483333
BHL,28.95,-113.6
BHM,33.562942,-86.75355
BHN,14.781972,45.720083
BHO,23.287467,77.337375
BHP,27.17,87.05
BHQ,-32,141.5
BHR,27.68,84.42
BHS,-33.409444,149.651944
BHT,-23.5,141.6
BHU,21.752206,72.185181
BHV,29.3481,71.717981
BHW,32.08,72.67
BHX,52.453856,-1.748028
BHY,21.48,109.1
BHZ,-19.75,-43.75
BIA,42.552664,9.483731
BIB,3.067,43.8
BIC,57.67,-157.6
BID,41.17,-71.58
BIE,40.32,-96.75
BIF,31.849528,-106.380039
BIG,63.994547,-145.721642
BIH,37.37,-118.4
BII,11.58,165.4
BIJ,-5.583,146.4
BIK,-1.190017,136.107997
BIL,45.807667,-108.542889
BIM,25.699881,-79.264656
BIN,34.8,67.82
BIO,43.301097,-2.910608
BIP,-16.15,143.8
BIQ,43.468419,-1.523325
BIR,26.481453,87.264036
BIS,46.772733,-100.745739
BIT,29.53,80.43
BIU,65.83,-23.98
BIV,6.533,21.98
BIW,-19.58,127.6
BIX,30.410425,-88.924433
BIY,-32.83,27.33
BIZ,-5.283,142
BJA,36.711997,5.069922
BJB,37.492958,57.308219
BJC,39.908787,-105.117217
BJD,66.07,-14.75
BJE,11.21,28.52
BJF,70.600278,29.6925
BJG,-5.117,119.4
BJH,29.55,81.25
BJI,47.52,-94.93
BJJ,40.8,-81.93
BJK,-6.083,134.3
BJL,13.337961,-16.652206
BJM,-3.324019,29.318519
BJN,-17.18,37.95
BJO,-22.773336,-64.312881
BJP,-22.95,-46.57
BJR,11.608075,37.321644
BJS,40.05,116.6
BJT,6.418,80
BJU,29.35,81.3
BJV,37.250611,27.664311
BJW,-8.783,121
BJX,20.993464,-101.480847
BJY,44.82,20.3
BJZ,38.89125,-6.821333
BKA,55.62,38.07
BKB,28.070606,73.207161
BKC,65.98,-161.2
BKD,32.75,-98.9
BKE,44.837333,-117.809083
BKF,39.701668,-104.75166
BKH,22.022833,-159.785
BKI,5.937208,116.051181
BKJ,10.97,-14.28
BKK,13.912583,100.60675
BKL,41.5175,-81.683333
BKM,3.967,115.6
BKN,13.8,5.233
BKO,12.533544,-7.949944
BKP,-21.03,138.3
BKQ,-24.427778,145.428611
BKR,12.83,17.25
BKS,-3.8637,102.339036
BKT,37.07,-77.96
BKU,-23.73,44.38
BKW,37.787328,-81.124164
BKX,44.3,-96.82
BKY,-2.308978,28.808803
BKZ,-1.3,31.8
BLA,10.107139,-64.689161
BLB,8.95,-79.57
BLC,5.9,10
BLD,35.98,-114.8
BLE,60.422017,15.515211
BLF,37.3,-81.2
BLG,2.65,113.8
BLH,33.62,-114.7
BLI,48.792694,-122.537528
BLJ,35.55,6.167
BLK,53.771667,-3.028611
BLL,55.740322,9.151778
BLM,40.18,-74.12
BLN,-36.55,146
BLO,65.67,-20.3
BLP,-12.02,-77.13
BLQ,44.535444,11.288667
BLR,12.949986,77.668206
BLS,-28.03,147.4
BLT,-23.603056,148.806944
BLU,38.58,-121.5
BLV,38.545178,-89.835183
BLW,21.35,-157.7
BLX,46.33,12.33
BLY,54.23,-10
BLZ,-15.679053,34.974014
BMA,59.354372,17.94165
BMB,2.3,22.55
BMC,41.53,-112.1
BMD,-19.67,44.55
BME,-17.944722,122.231667
BMF,5.733,22.8
BMG,39.146022,-86.616683
BMH,-6.367,144.6
BMI,40.477111,-88.915917
BMJ,5.433,-58.55
BMK,53.5955,6.709167
BML,44.48,-71.17
BMM,2.075639,11.493195
BMN,37.1,43.27
BMO,24.27,97.25
BMP,-20.78,149.2
BMQ,-3.95,39.73
BMR,53.73,7.389
BMS,-14.22,-41.67
BMT,30.07,-94.22
BMU,-8.467,118.7
BMV,12.67,108.1
BMW,21.13,1.067
BMX,59.37,-155.3
BMY,-19.75,163.7
BMZ,-7.833,143.2
BNA,36.124472,-86.678194
BNB,-0.2333,20.83
BNC,0.5667,29.47
BND,27.218317,56.37785
BNE,-27.384167,153.1175
BNF,57.08,-134.8
BNG,33.93,-116.9
BNH,41.74,-72.65
BNI,6.316981,5.599503
BNJ,50.77,7.167
BNK,-28.833889,153.5625
BNL,33.25,-81.38
BNM,-9.083,147.5
BNN,65.461111,12.2175
BNO,43.58,-119
BNP,32.97,70.52
BNQ,7.583,126.6
BNR,10.63,-4.767
BNS,8.619575,-70.220825
BNT,-5.733,145.2
BNU,-26.93,-49.05
BNV,-6.417,146.8
BNW,42.07,-93.88
BNX,44.77,17.18
BNY,-11.3,159.8
BNZ,-5.783,144.6
BOA,-5.817,13.07
BOB,-16.444378,-151.751286
BOC,9.340853,-82.250842
BOD,44.828335,-0.715556
BOE,-1.033,15.38
BOF,38.84,-77.02
BOG,4.701594,-74.146947
BOH,50.78,-1.8425
BOI,43.564361,-116.222861
BOJ,42.569583,27.515236
BOK,42.05,-124.3
BOL,52.42,-1.5
BOM,19.088686,72.867919
BON,12.131044,-68.268511
BOO,67.269167,14.365278
BOP,5.967,15.63
BOQ,-6.267,155.2
BOR,47.65,7.017
BOS,42.364347,-71.005181
BOT,-9.5,147.1
BOU,47.058056,2.370278
BOV,-3.367,153.3
BOW,27.93,-81.78
BOX,-16.075278,136.302222
BOY,11.160056,-4.330969
BOZ,6.317,16.38
BPA,40.75,-73.48
BPB,-9.133,147.5
BPC,6.039239,10.122639
BPD,-7.75,147
BPE,24,96
BPF,-8.583,158.1
BPG,-15.861344,-52.388894
BPH,8.2,126.4
BPI,42.58,-110.1
BPK,-5.53,141.7
BPM,17.45,78.38
BPN,-1.267,116.9
BPS,-16.438639,-39.080917
BPT,29.950833,-94.020694
BPU,33.3,131.5
BPX,30.56,97.11
BPY,-16.741945,44.481388
BQA,15.77,121.6
BQB,-33.72,115.3
BQE,-33.5618,-70.6884
BQH,51.330833,0.0325
BQI,-18.12,21.62
BQK,31.258808,-81.466497
BQL,-22.913333,139.899722
BQN,18.494861,-67.129444
BQO,9.267,-3
BQQ,-11.07,-43.17
BQS,50.425394,127.412478
BQT,52.108334,23.898056
BQU,13,-61.27
BQV,58.43,-135.7
BQW,-20.13,127.8
BRA,-12.05,-45
BRB,-2.833,-42.83
BRC,-41.151172,-71.157542
BRD,46.4,-94.13
BRE,53.0475,8.786667
BRF,53.8,-1.75
BRG,37.12,-82.82
BRH,-5.7,145.4
BRI,41.138856,16.760594
BRJ,-36.73,147
BRK,-30.039167,145.951667
BRL,40.783226,-91.125506
BRM,10.042747,-69.358619
BRN,46.9141,7.497153
BRO,25.906833,-97.425861
BRP,-7.667,146.4
BRQ,49.151269,16.694433
BRR,57.02,-7.433
BRS,51.382669,-2.719089
BRT,-11.769167,130.619722
BRU,50.901389,4.484444
BRV,53.507081,8.572878
BRW,71.285446,-156.766003
BRX,18.251464,-71.1204
BRY,37.82,-85.47
BRZ,8.733,-7.5
BSA,11.5,49
BSB,-15.8711,-47.918625
BSC,6.202917,-77.394675
BSD,25.15,99.15
BSE,1.8,109.8
BSF,19.760056,-155.553717
BSG,1.905469,9.805681
BSH,50.83,-0.1333
BSI,40.43,-79.27
BSJ,-37.8875,147.567778
BSK,34.793289,5.738231
BSL,47.6,7.533
BSM,36.65,52.35
BSN,6.5,17.43
BSO,20.451322,121.979883
BSP,-9.05,141.1
BSQ,31.35,-109.9
BSR,30.549069,47.662142
BSS,-7.5,-46.03
BST,31.55,64.37
BSU,1.217,19.8
BSV,-15.67,47.07
BSW,60.4,-146.1
BSX,16.8,94.78
BSY,2.35,42.33
BSZ,58.27,-157.5
BTA,4.583,13.68
BTB,3.05,18.52
BTC,7.7,81.67
BTD,-18.63,135.9
BTE,7.517,-12.5
BTF,40.88,-111.9
BTG,7.3,18.3
BTH,1.067,104.1
BTI,70.133989,-143.581867
BTJ,5.523522,95.420372
BTK,56.370556,101.698331
BTL,42.307278,-85.251481
BTM,45.954806,-112.497472
BTN,34.62,-79.68
BTO,4.233,-55.45
BTP,40.77,-79.95
BTQ,-2.6,29.73
BTR,30.533167,-91.149639
BTS,48.170167,17.212667
BTT,66.913944,-151.529056
BTU,3.12385,113.020472
BTV,44.471861,-73.153278
BTW,-3.45,116
BTX,-25.63,140.8
BTY,36.9,-116.8
