region_code^env_id^date_from^date_to^region_name^region_id^sub_region_code^sub_region_name^sub_region_id^wiki_link^alt_name_list^country_code_list
AF^^^^Africa^^^Central Africa^^^^
AF^^^^Africa^^^East Africa^^^^
AF^^^^Africa^^^North Africa^^^^
AF^^^^Africa^^^Other Africa^^^^
AF^^^^Africa^^^South Africa^^^^
AF^^^^Africa^^^West Africa^^^^
AM^^^^Americas^^^Caribbean^^^^
AM^^^^Americas^^^Central America^^^^
AM^^^^Americas^^^North America^^^^
AM^^^^Americas^^^Other Americas^^^^
AM^^^^Americas^^^South America^^^^
AS^^^^Asia^^^Central Asia^^^^
AS^^^^Asia^^^Northeast Asia^^^^
AS^^^^Asia^^^Other Asia^^^^
AS^^^^Asia^^^South Asia^^^^
AS^^^^Asia^^^Southeast Asia^^^^
AS^^^^Asia^^^West Asia^^^^
EU^^^^Europe^^^East Europe^^^^
EU^^^^Europe^^^North Europe^^^^
EU^^^^Europe^^^Other Europe^^^^
EU^^^^Europe^^^South Europe^^^^
EU^^^^Europe^^^West Europe^^^^
PA^^^^Pacific^^^Melanesia^^^^
PA^^^^Pacific^^^Micronesia^^^^
PA^^^^Pacific^^^Oceania^^^^
PA^^^^Pacific^^^Other Pacific^^^^
PA^^^^Pacific^^^Polynesia^^^^
