ICAO;IATA;Name;Country
CWQM;;;CA
CWQO;;;CA
CWQP;;;CA
CWQQ;;;CA
CWQR;;;CA
CWQS;;;CA
CWQV;;;CA
CWQW;;;CA
CWRA;;;CA
CWRD;;;CA
CWRF;;;CA
CWRJ;;;CA
CWRP;;;CA
CWRQ;;;CA
CWRT;;;CA
CWRV;;;CA
CWRY;;;CA
CWSA;;;CA
CWSE;;;CA
CWSH;;;CA
CWSI;;;CA
CWSK;;;CA
CWSQ;;;CA
CWSR;;;CA
CWSS;;;CA
CWST;;;CA
CWSW;;;CA
CWSY;;;CA
CWTB;;;CA
CWTC;;;CA
CWTE;;;CA
CWTF;;;CA
CWTG;;;CA
CWTN;;;CA
CWTO;;;CA
CWTY;;;CA
CWTZ;;;CA
CWUL;;;CA
CWUM;;;CA
CWUP;;;CA
CWUR;;;CA
CWUU;;;CA
CWUW;;;CA
CWUY;;;CA
CWVA;;;CA
CWVD;;;CA
CWVE;;;CA
CWVK;;;CA
CWVN;;;CA
CWVO;;;CA
CWVP;;;CA
CWVQ;;;CA
CWVT;;;CA
CWWB;;;CA
CWWE;;;CA
CWWO;;;CA
CWWP;;;CA
CWWU;;;CA
CWWZ;;;CA
CWXA;;;CA
CWXL;;;CA
CWXO;;;CA
CWXP;;;CA
CWYE;;;CA
CWYG;;;CA
CWYH;;;CA
CWYJ;;;CA
CWYM;;;CA
CWYO;;;CA
CWZB;;;CA
CWZV;;;CA
CWZZ;;;CA
CYAC;YAC;CAT LAKE;CA
CYAD;YAR;LA GRANDE-3;CA
CYAG;YAG;FORT FRANCES MUNI;CA
CYAH;YAH;LA GRANDE-4;CA
CYAJ;YAJ;Lyall Harbour Airport;CA
CYAL;YAL;ALERT BAY;CA
CYAM;YAM;SAULT STE. MARIE;CA
CYAQ;XKS;KASABONIKA;CA
CYAS;YKG;KANGIRSUK;CA
CYAT;YAT;ATTAWAPISKAT;CA
CYAU;YAU;SOUTH SHORE REGIONAL;CA
CYAV;YAV;ST. ANDREWS;CA
CYAW;YAW;SHEARWATER;CA
CYAX;YAX;LAC DU BONNET;CA
CYAY;YAY;ST. ANTHONY;CA
CYAZ;YAZ;TOFINO;CA
CYBA;YBA;BANFF;CA
CYBB;YBB;KUGAARUK;CA
CYBC;YBC;BAIE-COMEAU;CA
CYBD;QBC;BELLA COOLA;CA
CYBE;YBE;URANIUM CITY;CA
CYBF;YBY;BONNYVILLE;CA
CYBG;YBG;BAGOTVILLE;CA
CYBK;YBK;BAKER LAKE;CA
CYBL;YBL;CAMPBELL RIVER;CA
CYBN;;BORDEN;
CYBP;;BROOKS;
CYBQ;XTL;TADOULE LAKE;CA
CYBR;YBR;BRANDON MUNI;CA
CYBT;YBT;BROCHET;CA
CYBU;YBU;NIPAWIN;CA
CYBV;YBV;BERENS RIVER;CA
CYBW;YBW;SPRINGBANK;CA
CYBX;YBX;LOURDES-DE-BLANC-SABLON;CA
CYCA;YRF;CARTWRIGHT;CA
CYCB;YCB;CAMBRIDGE BAY;CA
CYCC;YCC;CORNWALL REGIONAL;CA
CYCD;YCD;NANAIMO;CA
CYCE;YCE;JAMES T. FIELD MEMORIAL;CA
CYCG;YCG;CASTLEGAR;CA
CYCH;YCH;MIRAMICHI;CA
CYCL;YCL;CHARLO;CA
CYCN;YCN;Cochrane, Ontario, Canada;CA
CYCO;YCO;KUGLUKTUK;CA
CYCP;YCP;BLUE RIVER;CA
CYCQ;YCQ;CHETWYND;CA
CYCR;YCR;CROSS LAKE (CHARLIE SINCLAIR MEMORIAL);CA
CYCS;YCS;CHESTERFIELD INLET;CA
CYCT;YCT;CORONATION;CA
CYCW;YCW;CHILLIWACK;CA
CYCX;YCX;GAGETOWN;CA
CYCY;YCY;CLYDE RIVER;CA
CYCZ;YCZ;FAIRMONT HOT SPRINGS;CA
CYDA;YDA;DAWSON CITY;CA
CYDB;YDB;BURWASH;CA
CYDC;YDC;PRINCETON;CA
CYDF;YDF;Deer Lake, Newfoundland and Labrador, Canada;CA
CYDG;;;
CYDL;YDL;DEASE LAKE;CA
CYDM;XRR;ROSS RIVER;CA
CYDN;YDN;DAUPHIN (LT. COL W.G.(BILLY) BARKER, VC APRT);CA
CYDO;YDO;DOLBEAU-ST-FELICIEN;CA
CYDP;YDP;NAIN;CA
CYDQ;YDQ;DAWSON CREEK;CA
CYEA;;EMPRESS;
CYED;YED;NAMAO;CA
CYEE;YEE;MIDLAND/HURONIA;
CYEG;YEG;EDMONTON INTL;CA
CYEK;YEK;ARVIAT;CA
CYEL;YEL;ELLIOT LAKE MUNI;CA
CYEM;YEM;MANITOULIN EAST MUNI;CA
CYEN;YEN;ESTEVAN;CA
CYER;YER;FORT SEVERN;CA
CYES;;EDMUNDSTON;
CYET;YET;EDSON;CA
CYEU;YEU;EUREKA;CA
CYEV;YEV;INUVIK (MIKE ZUBKO);CA
CYEY;YEY;AMOS/MAGNY;CA
CYFA;YFA;FORT ALBANY;CA
CYFB;YFB;IQALUIT;CA
CYFC;YFC;FREDERICTON INTL;CA
CYFD;XFV;BRANTFORD;CA
CYFE;YFE;FORESTVILLE;CA
CYFH;YFH;FORT HOPE;CA
CYFJ;;MONT-TREMBLANT INTL INC;
CYFO;YFO;FLIN FLON;CA
CYFR;YFR;FORT RESOLUTION;CA
CYFS;YFS;FORT SIMPSON;CA
CYFT;YMN;MAKKOVIK;CA
CYGB;YGB;GILLIES BAY;CA
CYGD;YGD;GODERICH;
CYGE;YGE;GOLDEN;CA
CYGH;YGH;FORT GOOD HOPE;CA
CYGK;YGK;KINGSTON;CA
CYGL;YGL;LA GRANDE RIVIERE;CA
CYGM;YGM;GIMLI INDUSTRIAL PARK AIRPORT;CA
CYGO;YGO;GODS LAKE NARROWS;CA
CYGP;YGP;GASPE;CA
CYGQ;YGQ;GERALDTON (GREENSTONE REGIONAL);CA
CYGR;YGR;ILES-DE-LA-MADELEINE;CA
CYGS;;;
CYGT;YGT;IGLOOLIK;CA
CYGV;YGV;HAVRE ST-PIERRE;CA
CYGW;YGW;KUUJJUARAPIK;CA
CYGX;YGX;GILLAM;CA
CYGZ;YGZ;GRISE FIORD;CA
CYHA;YQC;QUAQTAQ;CA
CYHB;YHB;HUDSON BAY;CA
CYHC;CXH;VANCOUVER HARBOUR;CA
CYHD;YHD;DRYDEN REGIONAL;CA
CYHE;YHE;HOPE;CA
CYHF;YHF;HEARST (RENE FONTAINE) MUNI;CA
CYHH;YNS;NEMISCAU;CA
CYHI;YHI;HOLMAN;CA
CYHK;YHK;GJOA HAVEN;CA
CYHM;YHM;Hamilton, Ontario, Canada - John C. Munro Hamilton International Airport;CA
CYHN;YHN;HORNEPAYNE MUNI;CA
CYHO;YHO;HOPEDALE;CA
CYHR;YHR;CHEVERY;CA
CYHT;YHT;HAINES JUNCTION;CA
CYHU;YHU;MONTREAL/ST-HUBERT;CA
CYHY;YHY;HAY RIVER;CA
CYHZ;YHZ;HALIFAX/STANFIELD INTL;CA
CYIB;YIB;ATIKOKAN MUNI;CA
CYID;YDG;DIGBY;CA
CYIF;YIF;ST-AUGUSTIN;CA
CYIK;YIK;IVUJIVIK;CA
CYIO;YIO;POND INLET;CA
CYIV;YIV;ISLAND LAKE;CA
CYJA;XDH;JASPER;CA
CYJF;YJF;FORT LIARD;CA
CYJM;;FORT ST. JAMES (PERISON);
CYJN;YJN;ST-JEAN;CA
CYJP;;FORT PROVIDENCE;
CYJQ;ZEL;BELLA BELLA (DENNY ISLAND);CA
CYJT;YJT;STEPHENVILLE;CA
CYKA;YKA;KAMLOOPS;CA
CYKC;YKC;COLLINS BAY;CA
CYKD;LAK;AKLAVIK/FREDDIE CARMICHAEL;CA
CYKF;YKF;KITCHENER/WATERLOO;CA
CYKG;YWB;KANGIQSUJUAQ (WAKEHAM BAY);CA
CYKJ;YKJ;KEY LAKE;CA
CYKL;YKL;SCHEFFERVILLE;CA
CYKO;AKV;AKULIVIK;CA
CYKQ;YKQ;WASKAGANISH;CA
CYKX;YKX;KIRKLAND LAKE;CA
CYKY;YKY;KINDERSLEY;CA
CYKZ;YKZ;TORONTO/BUTTONVILLE MUNI;CA
CYLA;YPJ;AUPALUK;CA
CYLB;YLB;LAC LA BICHE;CA
CYLC;YLC;KIMMIRUT;CA
CYLD;YLD;CHAPLEAU;CA
CYLH;YLH;LANSDOWNE HOUSE;CA
CYLJ;YLJ;MEADOW LAKE;CA
CYLK;YSG;LUTSELKE;CA
CYLL;YLL;LLOYDMINSTER;CA
CYLO;;;
CYLP;;;
CYLQ;YLQ;LA TUQUE;CA
CYLR;YLR;LEAF RAPIDS;CA
CYLT;YLT;ALERT;CA
CYLU;XGR;KANGIQSUALUJJUAQ (GEORGES RIVER);CA
CYLW;YLW;KELOWNA;CA
CYLY;;;
CYMA;YMA;MAYO;CA
CYMD;YMD;Mould Bay Airport;CA
CYME;YME;MATANE;CA
CYMG;YMG;MANITOUWADGE;CA
CYMH;YMH;MARYS HARBOUR;CA
CYMJ;YMJ;MOOSE JAW/AIR VICE MARSHALL C.M. MCEWEN;CA
CYML;YML;CHARLEVOIX;CA
CYMM;YMM;FORT MCMURRAY;CA
CYMO;YMO;MOOSONEE;CA
CYMT;YMT;CHIBOUGAMAU/CHAPAIS;CA
CYMU;YUD;UMIUJAQ;CA
CYMW;YMW;MANIWAKI;CA
CYMX;YMX;MONTREAL INTL (MIRABEL);CA
CYMY;;;
CYNA;YNA;NATASHQUAN;CA
CYNC;YNC;WEMINDJI;CA
CYND;YND;OTTAWA/GATINEAU;CA
CYNE;YNE;NORWAY HOUSE;CA
CYNH;YNH;HUDSONS HOPE;CA
CYNJ;YLY;LANGLEY REGIONAL;CA
CYNL;YNL;POINTS NORTH LANDING;CA
CYNM;YNM;MATAGAMI;CA
CYNN;YNN;NEJANILINI LAKE;AU
CYNR;;HORIZON;
CYOA;YOA;EKATI;CA
CYOC;YOC;OLD CROW;CA
CYOD;YOD;COLD LAKE/GROUP CAPTAIN R.W. MCNAIR;CA
CYOH;YOH;OXFORD HOUSE;CA
CYOJ;YOJ;HIGH LEVEL;CA
CYOO;YOO;OSHAWA;CA
CYOP;YOP;RAINBOW LAKE;CA
CYOS;YOS;OWEN SOUND/BILLY BISHOP REGIONAL;CA
CYOW;YOW;OTTAWA/ MACDONALD-CARTIER INTL;CA
CYOY;YOY;VALCARTIER (W/C J.H.L. (JOE) LECOMTE);CA
CYPA;YPA;PRINCE ALBERT (GLASS FIELD);CA
CYPC;YPC;PAULATUK;CA
CYPD;YPS;PORT HAWKESBURY;CA
CYPE;YPE;PEACE RIVER;CA
CYPG;YPG;Portage, Manitoba, Canada - Southport Airport;CA
CYPH;YPH;INUKJUAK;CA
CYPK;;PITT MEADOWS;
CYPL;YPL;PICKLE LAKE;CA
CYPM;YPM;PIKANGIKUM;CA
CYPN;YPN;PORT-MENIER;CA
CYPO;YPO;PEAWANUCK;CA
CYPP;XFE;PARENT;CA
CYPQ;YPQ;PETERBOROUGH;CA
CYPR;YPR;PRINCE RUPERT;CA
CYPS;;PEMBERTON;
CYPT;;PELEE ISLAND;
CYPU;;PUNTZI MOUNTAIN;
CYPW;YPW;POWELL RIVER;CA
CYPX;YPX;PUVIRNITUQ;CA
CYPY;YPY;FORT CHIPEWYAN;CA
CYPZ;YPZ;BURNS LAKE;CA
CYQA;YQA;MUSKOKA;CA
CYQB;YQB;QUEBEC/JEAN LESAGE INTL;CA
CYQD;YQD;THE PAS;CA
CYQF;YQF;RED DEER REGIONAL;CA
CYQG;YQG;WINDSOR;CA
CYQH;YQH;WATSON LAKE;CA
CYQI;YQI;YARMOUTH;CA
CYQK;YQK;KENORA;CA
CYQL;YQL;LETHBRIDGE;CA
CYQM;YQM;GREATER MONCTON INTERNATIONAL;CA
CYQN;YQN;NAKINA;CA
CYQQ;YQQ;COMOX;CA
CYQR;YQR;REGINA INTL;CA
CYQS;YQS;ST. THOMAS MUNI;CA
CYQT;YQT;THUNDER BAY;CA
CYQU;YQU;GRANDE PRAIRIE;CA
CYQV;YQV;YORKTON MUNI;CA
CYQW;YQW;NORTH BATTLEFORD (CAMERON MCINTOSH);CA
CYQX;YQX;GANDER INTL;CA
CYQY;YQY;SYDNEY;CA
CYQZ;YQZ;QUESNEL;CA
CYRA;YRA;RAE LAKES;CA
CYRB;YRB;RESOLUTE BAY;CA
CYRC;YRC;CHICOUTIMI/ST-HONORE;
CYRI;YRI;RIVIERE-DU-LOUP;CA
CYRJ;YRJ;ROBERVAL;CA
CYRL;YRL;RED LAKE;CA
CYRM;YRM;ROCKY MOUNTAIN HOUSE;CA
CYRO;YRO;ROCKCLIFFE;CA
CYRP;YRP;OTTAWA/CARP;
CYRQ;YRQ;TROIS-RIVIERES;CA
CYRS;YRS;RED SUCKER LAKE;CA
CYRT;YRT;RANKIN INLET;CA
CYRV;YRV;REVELSTOKE;CA
CYSA;YSA;Sable Island;CA
CYSB;YSB;SUDBURY;CA
CYSC;YSC;SHERBROOKE;CA
CYSD;YSD;SUFFIELD;CA
CYSE;YSE;SQUAMISH;CA
CYSF;YSF;STONY RAPIDS;CA
CYSG;;ST-GEORGES;
CYSH;YSH;SMITHS FALLS-MONTAGUE (RUSS BEACH);CA
CYSJ;YSJ;SAINT JOHN, NEW BRUNSWICK;CA
CYSK;YSK;SANIKILUAQ;CA
CYSL;YSL;ST. LEONARD;CA
CYSM;YSM;FORT SMITH;CA
CYSN;YCM;ST. CATHARINES/NIAGARA DISTRICT;CA
CYSP;YSP;MARATHON;CA
CYSQ;;ATLIN;
CYSR;YSR;NANISIVIK;CA
CYST;YST;ST. THERESA POINT;CA
CYSU;YSU;SUMMERSIDE;CA
CYSW;;ELK VALLEY;
CYSY;YSY;SACHS HARBOUR;CA
CYSZ;;STE-ANNE-DES-MONTS;
CYTA;YTA;PEMBROKE;CA
CYTE;YTE;CAPE DORSET;CA
CYTF;YTF;ALMA;CA
CYTH;YTH;THOMPSON;CA
CYTJ;YTJ;Terrace Bay ;CA
CYTL;YTL;BIG TROUT LAKE;CA
CYTN;;TRENTON;
CYTQ;YTQ;TASIUJAQ;CA
CYTR;YTR;TRENTON;CA
CYTS;YTS;TIMMINS;CA
CYTZ;YTZ;TORONTO/CITY CENTRE;CA
CYUA;;;CA
CYUB;YUB;TUKTOYAKTUK;CA
CYUI;YUI;;CA
CYUJ;YUJ;Lady Franklin Point Airport;CA
CYUK;YUK;;CA
CYUL;YUL;MONTREAL/PIERRE-ELLIOTT-TRUDEAU INTL;CA
CYUQ;YUQ;;CA
CYUS;YUS;;CA
CYUT;YUT;REPULSE BAY;CA
CYUV;YUV;;CA
CYUW;;;
CYUX;YUX;HALL BEACH;CA
CYUY;YUY;ROUYN-NORANDA;CA
CYVB;YVB;BONAVENTURE;CA
CYVC;YVC;LA RONGE (BARBER FIELD);CA
CYVD;YVD;VIRDEN / R.J. (BOB) ANDREW FIELD REGIONAL;PG
CYVG;YVG;VERMILION;CA
CYVK;YVE;VERNON;CA
CYVM;YVM;QIKIQTARJUAQ;CA
CYVO;YVO;VAL-DOR;CA
CYVP;YVP;KUUJJUAQ;CA
CYVQ;YVQ;NORMAN WELLS;CA
CYVR;YVR;VANCOUVER INTL;CA
CYVT;YVT;BUFFALO NARROWS;CA
CYVV;YVV;WIARTON;CA
CYVZ;YVZ;DEER LAKE;CA
CYWA;YWA;PETAWAWA;CA
CYWG;YWG;WINNIPEG/JAMES ARMSTRONG RICHARSON INTERNATIONAL AIRPORT;CA
CYWH;YWH;VICTORIA HARBOUR;CA
CYWJ;YWJ;DELINE;CA
CYWK;YWK;WABUSH;CA
CYWL;YWL;WILLIAMS LAKE;CA
CYWM;;ATHABASCA;
CYWO;;;
CYWP;YWP;WEBEQUIE;CA
CYWV;YWV;WAINWRIGHT;CA
CYWY;YWY;WRIGLEY;CA
CYXC;YXC;CRANBROOK/CANADIAN ROCKIES INTL;CA
CYXD;YXD;EDMONTON CITY CENTRE (BLATCHFORD FIELD);CA
CYXE;YXE;SASKATOON/JOHN G. DIEFENBAKER INTL;CA
CYXH;YXH;MEDICINE HAT;CA
CYXJ;YXJ;FORT ST. JOHN;CA
CYXK;YXK;RIMOUSKI;CA
CYXL;YXL;SIOUX LOOKOUT;CA
